ID_Continent,ISO_2,ISO_3,Avg_Temp_C_1991_2020,Coldest_C_1991_2020,Hottest_C_1991_2020,Variation_Year_C_1991_2020
3,AD,AND,9.18,-2,20.6,22.7
1,AE,ARE,27.63,17,35.7,19.2
1,AF,AFG,13.57,-4,27.1,31.1
4,AG,ATG,26.61,24,28.3,4
4,AI,AIA,0,0,0,0
3,AL,ALB,12.03,-1,23.6,24.2
1,AM,ARM,7.15,-13,22.7,36
2,AO,AGO,21.83,18,24.4,6.4
5,AR,ARG,14.55,5,22.5,17.3
6,AS,ASM,0,0,0,0
3,AT,AUT,7.25,-6,19.2,25.2
6,AU,AUS,21.94,13,29.9,16.7
4,AW,ABW,0,0,0,0
3,AX,ALA,0,0,0,0
1,AZ,AZE,12.93,-5,27.8,33
3,BA,BIH,10.24,-4,22.6,26.8
4,BB,BRB,26.73,25,28.1,3.2
1,BD,BGD,25.53,17,29.7,12.6
3,BE,BEL,10.68,-1,21.6,22.7
2,BF,BFA,28.71,23,33.9,11
3,BG,BGR,11.31,-4,23.8,27.8
1,BH,BHR,28.23,14,39.6,25.8
2,BI,BDI,20.68,19,22.6,3.7
2,BJ,BEN,27.93,25,31.9,7
4,BM,BMU,0,0,0,0
1,BN,BRN,0,0,0,0
5,BO,BOL,0,0,0,0
5,BR,BRA,25.51,23,27.2,4.5
4,BS,BHS,25.06,17,29.3,12.1
1,BT,BTN,11.98,2,18.6,16.3
2,BW,BWA,22.22,13,28.2,14.8
3,BY,BLR,7.5,-11,21.7,33
4,BZ,BLZ,25.59,21,28.4,7
4,CA,CAN,-6.36,-28,12.8,40.4
2,CF,CAF,25.31,23,28.4,5.4
3,CH,CHE,6.08,-6,17.7,23.7
6,CK,COK,0,0,0,0
5,CL,CHL,8.71,3,14.1,11.4
2,CM,CMR,24.87,23,27.9,5
1,CN,CHN,7.1,-11,21,31.5
5,CO,COL,24.79,24,26.6,3.1
4,CR,CRI,24.85,23,26.8,3.9
4,CU,CUB,25.83,20,28.6,8.6
4,CW,CUW,0,0,0,0
3,CY,CYP,19.63,7,30.5,23.1
3,DE,DEU,9.63,-4,21.7,25.3
2,DJ,DJI,28.38,23,34.1,11.4
3,DK,DNK,8.76,-4,19.7,23.6
4,DM,DMA,22.48,20,24.2,3.9
4,DO,DOM,24.19,21,26.7,5.5
2,DZ,DZA,23.22,11,34.1,23.2
5,EC,ECU,21.65,20,23.5,3.7
3,EE,EST,6.31,-12,21.1,33.1
2,EG,EGY,23,12,31.6,19.7
2,EH,ESH,0,0,0,0
2,ER,ERI,26.92,20,31.1,10.8
3,ES,ESP,13.93,4,24.6,20.4
2,ET,ETH,23.04,20,26.3,6.3
3,FI,FIN,2.52,-16,19.1,35.2
6,FJ,FJI,24.3,21,26.6,5.6
5,FK,FLK,0,0,0,0
3,FR,FRA,11.69,1,22.8,21.8
2,GA,GAB,25.36,22,27.3,4.9
3,GB,GBR,0,0,0,0
4,GD,GRD,27.24,25,28.9,3.9
1,GE,GEO,7.67,-11,21.6,32.2
5,GF,GUF,0,0,0,0
2,GH,GHA,27.68,25,31.1,6.1
3,GI,GIB,0,0,0,0
6,GL,GRL,-17.18,-30,-1.5,28.9
2,GM,GMB,27.97,23,31.3,8
2,GN,GIN,26.14,23,30.1,6.7
4,GP,GLP,0,0,0,0
2,GQ,GNQ,24.54,22,26.6,4.3
3,GR,GRC,14.24,2,25.6,23.4
4,GT,GTM,23.67,20,26.3,6.1
6,GU,GUM,0,0,0,0
2,GW,GNB,27.43,23,31.1,7.7
5,GY,GUY,26.12,25,28.1,3.6
1,HK,HKG,0,0,0,0
4,HN,HND,23.99,21,26.3,5.5
3,HR,HRV,11.66,-3,23.8,26.6
4,HT,HTI,25.13,22,27.5,5.2
3,HU,HUN,11.15,-5,23.9,29.1
1,ID,IDN,26.14,25,26.9,1.5
3,IE,IRL,9.67,2,17.2,15.4
1,IL,ISR,20.51,9,29.3,19.9
3,IM,IMN,0,0,0,0
1,IN,IND,24.68,16,31.1,14.8
1,IQ,IRQ,22.58,5,35.8,30.4
1,IR,IRN,0,0,0,0
3,IS,ISL,2.31,-6,10.8,16.8
3,IT,ITA,12.81,2,24.2,22.5
4,JM,JAM,24.97,22,27.1,5.4
1,JO,JOR,19.42,6,29.9,23.9
1,JP,JPN,11.13,-2,25.3,27.5
2,KE,KEN,25.09,23,28,5.1
1,KG,KGZ,2.22,-19,17.5,36.8
1,KH,KHM,27.51,23,31,7.7
6,KI,KIR,27.49,27,27.8,0.6
2,KM,COM,24.52,22,26.6,4.9
1,KP,PRK,0,0,0,0
1,KR,KOR,0,0,0,0
1,KW,KWT,26.18,10,39,29
4,KY,CYM,0,0,0,0
1,KZ,KAZ,6.91,-18,25.5,43.5
1,LA,LAO,0,0,0,0
1,LB,LBN,16,4,26.4,22.9
4,LC,LCA,26.34,24,28,3.8
3,LI,LIE,6.71,-6,18.4,24.1
1,LK,LKA,27.28,25,29.3,4.3
2,LR,LBR,25.69,24,28.2,4.4
2,LS,LSO,12.65,5,19,14.4
3,LT,LTU,7.43,-11,21.2,31.8
3,LU,LUX,10.02,-3,22.1,24.8
3,LV,LVA,6.86,-11,21,31.9
2,LY,LBY,22.64,12,32,20.5
2,MA,MAR,18.04,8,28.6,20.4
3,MC,MCO,13.95,3,24.6,21.2
3,MD,MDA,0,0,0,0
3,ME,MNE,9.19,-5,21.6,26.4
2,MG,MDG,22.65,18,25.5,7.1
6,MH,MHL,27.93,27,29,2.4
2,ML,MLI,28.83,19,34.6,15.2
1,MN,MNG,0.67,-26,20.7,46.4
6,MP,MNP,27.64,26,30,4.1
4,MQ,MTQ,0,0,0,0
2,MR,MRT,28.34,19,34.5,15.4
4,MS,MSR,0,0,0,0
3,MT,MLT,19.61,10,29.2,18.8
2,MU,MUS,23.69,20,27.1,7.1
1,MV,MDV,27.8,27,28.9,1.7
2,MW,MWI,22.51,18,26.6,8.9
4,MX,MEX,21.31,14,26.8,12.7
1,MY,MYS,25.75,25,27.2,2.7
2,MZ,MOZ,24.33,19,27.7,8.3
2,NA,NAM,20.56,14,26.1,12.6
6,NC,NCL,22.24,18,26.5,8.4
2,NE,NER,27.83,17,34.6,17.5
2,NG,NGA,27.24,23,31.5,8.3
4,NI,NIC,25.29,23,27.3,4.4
3,NL,NLD,10.4,-1,21,22
3,NO,NOR,1.78,-12,15.2,27.2
1,NP,NPL,13.21,3,20.8,18.1
6,NR,NRU,0,0,0,0
6,NU,NIU,0,0,0,0
6,NZ,NZL,10.11,4,17.3,13.7
1,OM,OMN,26.04,19,31.4,12.5
4,PA,PAN,25.4,24,27.2,3.5
5,PE,PER,19.7,18,21.7,4.1
6,PF,PYF,0,0,0,0
6,PG,PNG,25.08,24,26.2,2.5
1,PH,PHL,25.82,24,27.8,4.2
1,PK,PAK,20.75,7,30.4,23.1
3,PL,POL,8.85,-7,21.3,28
4,PR,PRI,24.93,22,27.1,5
3,PT,PRT,15.62,7,24.4,17.1
6,PW,PLW,28.04,27,29.3,2.6
5,PY,PRY,23.73,15,28.9,13.9
1,QA,QAT,28.02,15,37.8,22.7
3,RO,ROU,9.86,-7,22.6,29.1
3,RS,SRB,11.28,-5,23.9,28.7
3,RU,RUS,0,0,0,0
2,RW,RWA,19.41,18,20.7,3.1
1,SA,SAU,25.47,14,34.3,20.6
6,SB,SLB,25.61,25,26.5,2
2,SC,SYC,27.55,26,29.4,3.9
2,SD,SDN,27.74,19,33.2,14.5
3,SE,SWE,2.62,-13,17.3,30.2
1,SG,SGP,27.6,26,29.3,3.2
3,SI,SVN,9.58,-4,21.7,25.8
3,SK,SVK,8.34,-7,20.9,28.1
2,SL,SLE,26.54,24,29.4,5.1
3,SM,SMR,0,0,0,0
2,SN,SEN,28.65,23,32.8,9.5
2,SO,SOM,27.09,25,29.3,4.5
5,SR,SUR,26.07,24,28,3.7
2,SS,SSD,27.72,25,31.8,6.8
4,SV,SLV,25.24,23,27.9,5.4
1,SY,SYR,0,0,0,0
2,TD,TCD,27.37,19,32.7,13.8
2,TG,TGO,27.38,24,30.9,6.5
1,TH,THA,26.79,21,31.2,9.8
1,TJ,TJK,3.75,-15,17.9,32.8
1,TM,TKM,16.14,-7,32.4,39.2
2,TN,TUN,20.34,9,32.1,23.4
6,TO,TON,24.58,22,28.1,6.6
1,TR,TUR,11.66,-4,24.6,28.1
5,TT,TTO,26.37,25,27.9,3.3
6,TV,TUV,28.45,27,29.6,2.5
1,TW,TWN,0,0,0,0
2,TZ,TZA,0,0,0,0
3,UA,UKR,9.25,-9,23.7,33
2,UG,UGA,23.34,22,26,4.5
4,US,USA,0,0,0,0
5,UY,URY,17.93,9,25.8,17
1,UZ,UZB,13.34,-12,30.6,42.2
5,VE,VEN,0,0,0,0
4,VG,VGB,0,0,0,0
1,VN,VNM,0,0,0,0
6,VU,VUT,24.03,22,26.2,4.5
6,WS,WSM,27.59,26,29.5,3.7
1,YE,YEM,23.63,18,29.1,11.2
2,YT,MYT,0,0,0,0
2,ZA,ZAF,18.28,10,24.9,15.2
2,ZM,ZMB,22.27,17,26.7,9.7
2,ZW,ZWE,21.83,15,26.4,11.2
