"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1950 <= Year >= 2022""]"																																													
	1950	1	30	0	56	32	1	1	7			0	"CHILE"	"SOUTHERN CHILE"	-53.5	-71.5		0																	1										
	1950	3	14	18	10	41	2	1	5.8			0	"NEW ZEALAND"	"N. NEW ZEALAND"	-37.8	177.2		1			0																								
	1950	4	30	23	49	24	0	1				0	"PANAMA"	"OFF COAST"	6.5	-83		1																											
	1950	8	3	22	18	22	2	1	6.4			0	"VENEZUELA"	"EL TOCUYO"	9.71	-69.819		1																100	2						1		1		1
	1950	8	15	14	9	30	0	1	8.6			0	"INDIA"	"INDIA-CHINA"	28.5	96.5	0.5	41																1530	4					20	3				
	1950	10	5	16	9	31	4	1	7.7			0	"COSTA RICA"	"COSTA RICA-NICARAGUA"	11	-85	0.1	8		-3.3	-2																		3		1				
	1950	10	8	3	23	9	3	1	7.6			0	"INDONESIA"	"BANDA SEA"	-3.8	128.3		2		1.5	2	1	1						3		3		3	1	1						3		3		3
	1950	10	8				1	8				0	"NORWAY"	"MID-NORWAY"	63.433	10.383		0																											
	1950	10	23	16	13	20	4	1	7.5			0	"GUATEMALA"	"GUATEMALA"	14.31	-91.917	0.2	5		-1.3	-1																				3		3		
	1950	11	8	2	18	12	3	1	7.3			0	"SOLOMON ISLANDS"	"SOLOMON SEA"	-10	159.5	1.2	2																											
	1950	12	2	19	51	49	3	1	7.8			0	"VANUATU"	"VANUATU ISLANDS"	-18.25	167.5	2.5	5																											
	1950	12	10	2	50	42	2	1	7			0	"PERU"	"S. PERU"	-14.25	-77.75	0.7	1		-0.5	0													4	1			12	1		2		2		
	1950	12	14	14	15	49	4	1	7.5			0	"MEXICO"	"S. MEXICO"	16.48	-98.22	0.3	2		-1.5																					3				
	1951	2	22	1	45	48.9	2	1	6.1			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-3.252	142.238	6	1											1												1				
	1951	2	23	16	45		0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"			3	1		1.6																				0.003	1				
	1951	8	3	0	23	58	1	3	6	4824		0	"NICARAGUA"	"COSIGUINA VOLCANO"	13	-87.5		1											1		1		1								3		2		
	1951	8	21	10	57	0	4	1	6.9			0	"USA"	"HAWAII"	19.5	-156	3.6	7		1.8	0.5								1												1				
	1951	10	22	5	43	1	4	1	7.3			0	"TAIWAN"	"TAIWAN"	23.8	121.7	0.3	2																68	2			586	3		3	2382	4		
	1951	12	21	8	37	29	0	1	6.3			0	"CHINA"	"CHINA: GANSU AND SHANXI PROVINCES"	26.7	100	2	1																											
	1951	12	22				3	6		2208		0	"SOLOMON ISLANDS"	"KAVACHI"	-9.02	157.95		0		2.6																									
	1952	1	9	8			4	8				0	"NORWAY"	"MID-NORWAY"	64.883	12.417	2	0			2																								
	1952	3	4	1	22	41	4	1	8.1			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.15	143.85	6.54	218		2.7	2	33	1				3		3		3			33	1			572	3		3	2422	4		
	1952	3	9	17	4	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	41.7	143.6	0.3	4		-1.7	-2																	17	1		2	113	3		
	1952	3	17	3	58	0	4	1	4.5			0	"USA"	"HAWAII"	19.1	-155	3	2			0																								
	1952	3	19	10	57	12	4	1	7.8			0	"PHILIPPINES"	"E. OF MINDANO, PHILIPPINES"	9.5	127.25	0.33	5																							1				
	1952	4	10				0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"			19.81	1																											
	1952	5	6				0	9				0	"USA"	"LAKE HURON, MI"	43.1	-82.4	1.52	3											1																
	1952	5	13	19	32	0	2	1	6.9			0	"COSTA RICA"	"COSTA RICA-PANAMA"	10.3	-85.3	0.1	2		-3.3	-3																								
	1952	7	13	11	58	33	2	1	6.8			0	"VANUATU"	"OFF EAST COAST OF VANUATU"	-18.5	169.25		2																											
	1952	9	16	2	50		4	6		4850		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	32.1	139.85	0.15	1		-1	-1																								
	1952	9	23	4	20	0	4	6		4851		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	32.1	139.85	0.05	1		-1	-1																								
	1952	9	24	3	23	0	4	6		4852		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	32.1	139.85	0.15	1		-1														31	1						1				
	1952	9	26	3	33	0	4	6		4853		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	32.1	139.85	0.1	2		-1	-1																								
	1952	10	13				0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"				1																											
	1952	11	4	16	58	27.9	4	1	9			6	"RUSSIA"	"KAMCHATKA"	52.755	160.057	23	327		4.2	4	10000	4					1	2					10000	4					1	2				
	1952						3	8				0	"GREENLAND"	"SOUTH COAST OF NUUSSUAQ, GREENLAND"	70.3	-53		1				1	1											1	1						1				
	1953	2	14				0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"				1																											
	1953	2	15				2	1	5.5			0	"PERU"	"CENTRAL PERU"	-12	-77.5	0.7	1		-0.5																									
	1953	2	16	11	43		0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"			4.8	1																											
	1953	3	11				4	6		4518		2	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	32.1	139.85	6	2		-1	-1																								
	1953	3	17	13	4		3	1	5.8			0	"RUSSIA"	"N. KURIL ISLANDS"	50	156.5	3	1		0.6																									
	1953	3	25				4	6		6044		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	32.1	139.85	0.05	1		-1	-1																								
	1953	4	23	16	24	34	1	1	7.4			0	"PAPUA NEW GUINEA"	"RABAUL, NEW BRITAIN"	-4.449	152.868		2			0																			0.013	1				
	1953	5	6	17	16	43	1	1	7.6			0	"CHILE"	"CENTRAL CHILE"	-36.5	-72.5		0																9	1			26	1	500	4				
	1953	5	31	19	58		2	1	7.2			0	"DOMINICAN REPUBLIC"	"PUERTO PLATA"	19.8	-70.7	0.06	1		-3.3																									
	1953	6	27				3	6		2071		1	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-2.4	147.4		1		0.5	1								1												1				
	1953	8	12	9	23	52	2	1	7.2			0	"GREECE"	"IONIAN SEA"	38.3	20.8		0																476	3			2412	4	100	4	27773	4		
	1953	8	19	19	0		0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"				1																											
	1953	9	10	4	6	4.1	3	1	6.3			0	"CYPRUS"	"LEVANTIAN SEA"	34.741	32.335		2			2													40	1			100	2		2	500	3		
	1953	9	14	0	26	36	4	3	6.4			2	"FIJI"	"FIJI ISLANDS"	-18.3	178.2	15	31		1	1	5	1			12	1		1		1		1	7	1			12	1		2		2		1
	1953	11	14				1	0				0	"AUSTRALIA"	"TASMANIA"	-41	147.4	2.4	1				1	1						1					1	1						1				
	1953	11	25	17	48		4	1	7.4			0	"JAPAN"	"KASHIMA, JAPAN"	34	141.7	3	33		1.5	1.5								1					1	1						1				
	1953	12	12	17	31	25	4	1	7.4			0	"PERU"	"N. PERU"	-3.4	-80.6	1	2		-1	0.5													6	1			20	1		2	200	3		
	1954	1	21	14	0		3	9				0	"ARGENTINA"	"MAR DEL PLATA"	-38	-57	1	1									3												3						
	1954	2	11	0	30	15	0	1	7.3			0	"CHINA"	"CHINA: GANSU AND SHANXI PROVINCES"				1																							3		3		
	1954	2					4	6		4844		0	"ITALY"	"STROMBOLI ISLAND"	38.789	15.213		4			4																								
	1954	6	26				0	9				0	"USA"	"MICHIGAN CITY, IN (LAKE MICHIGAN)"	41.7	-86.883	3	5				7	1											7	1										
	1954	9	9	1	4	37	4	3	6.7			0	"ALGERIA"	"SEA OF ALBORAN"	36.283	1.467	0.33	4																1243	4			5000	4	6	3	20000	4		
	1954	10					2	0				0	"GREENLAND"	"APUTITEQ POINT, GREENLAND"	67.47	-32.283	18.28	1		4.2																									
	1954	11	18	20	44	55	4	1	6.1			0	"JAPAN"	"MIYAGI, JAPAN"	38.9	142.2		3			-1																								
	1955	1	18				2	1	5.5			0	"VENEZUELA"	"OFF THE COAST NEAR LA VELA"	11.46	-69.57		1											1				1								1				1
	1955	4	19	16	47	19	3	1	6.2			0	"GREECE"	"VOLOS GULF"	39.4	23.1		1																8	1			149	3		4	459	3	8352	4
	1955	4	19	20	24	5	4	1	7.1			0	"CHILE"	"CENTRAL CHILE"	-30	-72	1	7			1	1	1						1		1			1	1						1		1		
	1955	5	17	14	49	49	2	1	7.3			0	"INDIA"	"LITTLE NICOBAR ISLAND"	6.5	94		0																											
	1955	9	8	3	27	14	3	1	6.5			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-6.9	155.7		1																											
	1955	9	23	15	6	23	0	1	6.8			0	"CHINA"	"JINSHA RIVER, YUNNAN PROVINCE"	26.6	101.8	1	0																											
	1955	10	10	8	57	52.9	3	1	7.3			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-5.1	152.924		1																											
	1956	1	8	20	54	13	1	1	7.1			0	"CHILE"	"NORTHERN CHILE"	-19	-70		0																	1						1				
	1956	3	2	22	43		0	1	5.3			0	"NEW ZEALAND"	"LAKE TAUPO, NORTH ISLAND"	-38.9	175.8	0.9	0																											
	1956	3	5	23	29		4	1	6.3			0	"JAPAN"	"NE. HOKKAIDO ISLAND"	44.3	144.1	0.4	1		-1.3	-2																								
	1956	3	30	6	11		2	6		2952		1	"RUSSIA"	"KAMCHATKA"	55.978	160.587	0.3	13		-0.7																									
	1956	7	9	3	11	45.2	4	1	7.7			3	"GREECE"	"CYCLADES"	36.664	25.957	30	100		5	5	3	1						2					56	2						3				
	1956	7	9	3	24		3	1	6.8			0	"GREECE"	"AMORGOS ISLAND, AEGEAN ISLANDS"	36.8	25.5	10	1																											
	1956	8	12	16	59	37.6	-1	1	6.5			0	"JAPAN"	"IZU PENINSULA"	33.8	138.8		1		-1	-1																								
	1956	11	2	16	4	33	2	1	5.8			0	"GREECE"	"NORTH AEGEAN"	39.5	23	1.2	1		0.3	2																								
	1956	12	18	2	31	3	1	1	7			0	"CHILE"	"NORTHERN CHILE"	-25.5	-71		0																											
	1957	3	9	14	22	31.9	4	1	8.6			6	"USA"	"ANDREANOF ISLANDS, AK"	51.292	-175.629	32	332		3.9	3	2	1			1	1		3		1			2	1			1	1		3		1		
	1957	6	22	23	50	23	3	1	7.3			0	"INDONESIA"	"NW. IRIAN JAYA"	-1.5	137	1.8	2		0.8																									
	1957	7	28	8	40	1	4	1	7.9			0	"MEXICO"	"S. MEXICO"	16.5	-99.1	1.3	3		1.3	0.5													65	2				3	25	4		3		
	1957	7	29	17	15	14	1	1	7			0	"CHILE"	"NORTHERN CHILE"	-23.5	-71.5		0																											
	1957	9	26				3	1	5.5			0	"INDONESIA"	"SOUTH OF JAVA"	-8.2	107.3	0.7	0		-0.5																									
	1957	10	26	14	16	57	2	1	6			0	"INDONESIA"	"MAKASSAR STRAIT"	-2	116		1			0																								
	1957	11	1	5	0		-1	9				0	"USA"	"HAWAII"			0.1	5			-3																								
	1957	11					2	0				0	"SOLOMON ISLANDS"	"MALAITA ISLAND, SOLOMON ISLANDS"	-8.57	160.72	2.7	2		1.4																									
	1958	1	19	14	7	27	4	1	7.6			0	"ECUADOR"	"COLOMBIA-ECUADOR"	1.5	-79.5		3			2	4	1						1		1			115	3			46	1		2		2		
	1958	2	7	23	23	36	0	1	6.2			0	"CHINA"	"SICHUAN PROVINCE"	31.5	105		1																											
	1958	4	9				-1	1				0	"PERU"	"PERU"				0			1.5																								
	1958	4	21	22	37	46	2	1	6.5			0	"INDONESIA"	"BENGKULU, SUMATRA"	-4.5	104		0			0.5																								
	1958	7	10	6	15	59.9	4	3	7.8			2	"USA"	"SE. ALASKA, AK"	58.37	-136.665	524.6	17		4.6	5	5	1					0.1	1		1			5	1					0.1	1		1		
	1958	9	17	12	24		2	1	5			0	"RUSSIA"	"N. KURIL ISLANDS"	48.6	156.1	0.23	1		-2.3	-1																								
	1958	10	7	10	0		1	6		5644		0	"VANUATU"	"KUWAE VOLCANO"	-16.829	168.536		1			0																								
	1958	11	4	22	54	46	1	1	6.1			0	"PACIFIC OCEAN"	"EAST PACIFIC RISE"	-50	-115	0.1	1																											
	1958	11	6	22	58	8.6	4	1	8.3			0	"RUSSIA"	"S. KURIL ISLANDS"	44.53	148.54	5	60		2	2.5						2		2										2		2				
	1958	11	12	20	23		2	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	44.2	148.8	1	8			-1																								
	1959	1	22	5	10	0	4	1	6.8			0	"JAPAN"	"SANRIKU"	37.5	142.2	0.8	9		-0.3	-2																								
	1959	2	7	9	36	51	1	1	7.4			0	"PERU"	"N. PERU"	-4	-81.5	0.4	1			-2																				1				1
	1959	2	23				1	0				0	"GREECE"	"GRECIAN ARCHIPELAGO, CRETE"	40.63	22.97	1	4			3																								
	1959	4	9	12	24	20	2	1	5			0	"RUSSIA"	"S. KURIL ISLANDS"	44.3	149	0.1	1		-3.3	-2																								
	1959	5	4	7	15	42	4	1	8.2			0	"RUSSIA"	"KAMCHATKA"	52.5	159.5	0.2	7		1	1																								
	1959	5	7				4	8				0	"NORWAY"	"NORTHERN NORWAY"	69.817	20.917	4	1			4													9	1						1				
	1959	8	17	21	4	40	4	1	7.3			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-7.5	156	1	5		1.3									2				1								3				1
	1959	8	18	6	37	13.5	0	3	7.5			0	"USA"	"HEGBEN LAKE, MONTANA"	44.712	-111.215	1	1																28	1					11	3				2
	1959	8	29	17	3	10	0	1	6.5			0	"RUSSIA"	"LAKE BAYKAL (BAIKAL)"	52	106.5		0																											
	1959	10	26	7	35	0	4	1	6.7			0	"JAPAN"	"SANRIKU"	37.5	143.2	0.11	8		-3.3	-4																								
	1960	1	13	15	40	34	1	1	7.8			0	"PERU"	"S. PERU"	-15.75	-72.75	5.7	1		2.6	3																				1				
	1960	2	29	23	40	12	1	1	6.8			0	"MOROCCO"	"MOROCCO"	30.5	-9.5		1																13100	4			25000	4	120	4		3		
	1960	3	20	17	7	30	4	1	7.5			0	"JAPAN"	"SANRIKU"	39.8	143.4	1	19		0	-2																				1				
	1960	3	23	0	23		4	1	6.7			0	"JAPAN"	"SANRIKU"	39.4	143.7	0.75	12		-1	-2.5																								
	1960	5	21	10	2	50	4	1	8.2			0	"CHILE"	"CENTRAL CHILE"	-37.872	-73.243	0.5	7			-1														1				3		1				
	1960	5	22	19	11	17	4	1	9.5	4153		26	"CHILE"	"SOUTHERN CHILE"	-38.143	-73.407	25	1277		4.6	4	2226	4			3000	4	1000	4	58622	4			2226	4			3000	4	1000	4	58622	4		
	1960	5	24				-1	0	6.7			0	"CHILE"	"SOUTHERN CHILE"				0																											
	1960	6	11	15	14	9	3	1	6.6			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-9.4	152.3		1		-0.5	0																								
	1960	7	29	17	31	45	4	1	6.7			0	"JAPAN"	"SANRIKU"	40.3	142.5	0.3	5		-1	-3																								
	1960	11	1	8	45	59	1	1	7.4			0	"CHILE"	"SOUTHERN CHILE"	-38.5	-75.1		0																											
	1960	11	20	22	1	56.4	3	1	6.8			0	"PERU"	"N. PERU"	-6.8	-80.7	9	19		3.2	4	66	2			2	1	0.55	1					66	2			2	1	0.55	1				
	1961	1	16	7	20	0	4	1	6.8			0	"JAPAN"	"KASHIMA, JAPAN"	36	142.3	0.4	5		-1.3	-2																								
	1961	1	16	11	19	0	4	1	6.4			0	"JAPAN"	"KASHIMA, JAPAN"	36	141.9	0.4	2		-1.3	-2																								
	1961	1	16	12	12	0	4	1	6.5			0	"JAPAN"	"KASHIMA, JAPAN"	36.2	141.9	0.4	4		-1.3	-2																								
	1961	2	12	21	53	0	4	1	6.6			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	147.9	1	5			-0.5																								
	1961	2	26	18	10	48.7	4	1	7.6			0	"JAPAN"	"SEIKAIDO"	31.6	131.8	0.65	34			-0.5													2	1			7	1		2	170	3		
	1961	3	18				2	1				0	"SOLOMON ISLANDS"	"HONIARA, GUADALCANAL"	-9.43	159.95	3.6	2											1		1		1								1		1		1
	1961	5	23	2	45	19	2	1	6.4			0	"TURKEY"	"ASIA MINOR"	36.693	28.594		0			2																								
	1961	6	6				1	9				0	"ITALY"	"AEGEAN SEA"			0.9	3		-0.1	2																								
	1961	6	16	10	31	57.3	0	2	6.5			0	"COLOMBIA"	"NORTHEASTERN"	8.9	-73.4		1																											
	1961	7	18	14	4	0	4	1	6.6			0	"JAPAN"	"RYUKYU ISLANDS"	29.6	131.8	0.2	6		-2.3	-3																								
	1961	7	23	21	51	10.5	3	1	7.3			0	"VANUATU"	"VANUATU ISLANDS"	-18.421	168.411	0.9	2			-0.5								1												1				
	1961	8	1	5	39	54.4	2	1	6.4			0	"SOLOMON ISLANDS"	"SOLOMON SEA"	-9.849	160.614	0.9	0																											
	1961	8	11	15	51	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.9	145.6	0.1	9		-3.3	-4																								
	1961	10	18	16	51	57	1	1	6.5			0	"CHILE"	"CENTRAL CHILE"	-36.7	-73		0																	1						1				
	1961	10	18	16	51	57	1	1	6.5			0	"CHILE"	"CENTRAL CHILE"	-36.7	-73		0																	1						1				
	1961	11	15	7	17	0	4	1	6.9			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.7	145.7	0.1	9		-3.3	-3.5																								
	1962	1	11	5	5		3	1	6.1			0	"CROATIA"	"DALMATIAN COASTS"	43.3	17.1	0.04	1																1	1						2	2290	4		
	1962	3	12	11	40	16.7	3	1	6.8			0	"PANAMA"	"COSTA RICA-PANAMA"	8.008	-82.757	0.1	2		-3.3																					1				
	1962	4	12	0	52	43	4	1	7.2			0	"JAPAN"	"SANRIKU"	38.073	142.741	1	12			-2																								
	1962	4	23	5	58	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.2	143.9	0.1	10		-3.3	-3.5																								
	1962	5	11	14	11	54.1	4	1	7			0	"MEXICO"	"S. MEXICO"	17.2	-99.6	0.81	1		-0.3	0													4	1				3		2		2		
	1962	5	19	14	58	15	3	1	7.2			0	"MEXICO"	"S. MEXICO"	17.2	-99.5	0.34	1																3	1			16	1		2		2		
	1962	5	21	12	21		2	1	5.7			0	"JAPAN"	"OFF COAST OF HONSHU ISLAND"	41.8	142.4	0.1	1			-2																								
	1962	5	28	22	57	47	1	1	4.5			1	"GREECE"	"NORTH AEGEAN SEA"	39.8	25		1																											
	1962	12	21	8	42	43	1	1	6.5			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	52.47	-168.54		1																											
	1963	2	7	19	28		4	8				0	"GREECE"	"CORINTH GULF"	38.31	22.02	6	9			5	2	1			12	1		1		1			2	1			12	1		1		1		
	1963	2	13	8	50	4.5	4	1	7.3			0	"TAIWAN"	"E. TAIWAN-RYUKYU ISLANDS"	24.4	122.1	0.2	2		-2.3	-2													15	1			18	1		2		2		
	1963	3	28	10			3	0				0	"CANADA"	"GRAHAM ISLAND, BRITISH COLUMBIA"	54	-132.25	5.5	7				1	1						2					1	1						2				
	1963	3	30				2	6		351		0	"INDONESIA"	"LESSER SUNDA: BALI: AGUNG VOLCANO"	-8.342	115.508		2			2													1028	4			624	3						
	1963	9	18	16	58	14.8	4	1	6.2			0	"TURKEY"	"MARMARA SEA"	40.698	29.159	1	1			3													1	1						2	7	1	163	3
	1963	9	24	16	30	16	2	1	7			0	"PERU"	"CENTRAL PERU"	-10.385	-78.022		0																1	1						2				2
	1963	10	9	21	39		0	8				0	"ITALY"	"VAJONT DAM, VAJONT RIVER"	46.267	12.329	235	6				2000	4						3		3		3	2000	4						3		3		3
	1963	10	12	11	27	0.2	4	1	7.1			0	"RUSSIA"	"S. KURIL ISLANDS"	44.426	149.272	0.12	3		-3.3	-2																								
	1963	10	13	5	17	53.4	4	1	8.5			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	149.798	4.5	90		2.3	2.5																								
	1963	10	20	0	53	10.9	4	1	7.9			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	150.563	15	22		3.9	3																								
	1963	12	16	1	51	31	2	1	6.6			0	"INDONESIA"	"JAVA"	-6.4	105.4		1		-0.5	0																				1				1
	1963	12	18	0	30	0	2	1	7.2			0	"TONGA"	"TONGA TRENCH"	-24.8	-176.6		1			0.5																								
	1964	3	20	16			2	0				0	"USA"	"GULF OF ALASKA, AK"			0.08	1																											
	1964	3	28	3	36	14	4	3	9.2			20	"USA"	"PRINCE WILLIAM SOUND, AK"	61.017	-147.648	51.8	426		6.1	3.5	124	3					116	4		3			139	3					400	4		3		
	1964	4	2	1	11	51	3	3	7			0	"INDONESIA"	"OFF NORTHWEST COAST OF INDONESIA"	5.8	95.4		1		-0.5	0																				3		3		
	1964	5	7	7	58	0	4	1	6.9			0	"JAPAN"	"NW. HONSHU ISLAND"	40.3	139	0.6	35		-0.1	0																				2				
	1964	5	7	20	13		3	1	6.6			0	"JAPAN"	"NW. HONSHU ISLAND"	40.4	139		2			-3																								
	1964	5	19	0	0	0	3	8				0	"USA"	"LONG ISLAND, NY"	40.8	-73.1	0.28	11																											
	1964	6	16	4	1	44.3	4	1	7.5			1	"JAPAN"	"NW. HONSHU ISLAND"	38.65	139.2	5.8	168		2.7	2	26	1			450	3	80	4	1960	4			26	1			450	3	80	4	2250	4		
	1964	7	24	8	12	39	4	1	6.8			0	"RUSSIA"	"S. KURIL ISLANDS"	47.159	153.876	0.08	5		-3.3	-2																								
	1964	11	17	8	15	39.3	3	1	7.6			0	"PAPUA NEW GUINEA"	"NEW BRITAIN"	-5.7	150.7	0.05	1																							1				
	1964	12	10	15	11	7.6	4	1	6.3			0	"JAPAN"	"NW. HONSHU ISLAND"	40.4	138.9	0.1	4		-3.3	-3																								
	1965	1	24	0	11	12.1	4	1	7.6			0	"INDONESIA"	"SANANA ISLAND"	-2.4	126.1		4		2	2	71	2						4	3000	4			71	2						2	3000	4		
	1965	1	30	9	20		0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"				1				1	1					0.07		1	1	1	1	1	1					0.07	1	1	1	1	1
	1965	2	4	5	1	21.6	4	1	8.7			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	51.29	178.55	10.7	83		3.3	2.5							0.01	1											0.01	1				
	1965	2	19				0	7				0	"CHILE"	"SOUTHERN CHILE"	-41.755	-72.396	60	1				27	1						3		3			27	1						3		3		
	1965	2	23	22	11	46	1	1	7			0	"CHILE"	"NORTHERN CHILE"	-25.67	-70.63		0																											
	1965	3	9	17	57	53.7	3	1	6.3			0	"GREECE"	"AEGEAN SEA"	39.4	24		2																38	1			253	3	8	3		3		
	1965	3	22	22	56	28	1	1	6			0	"CHILE"	"CENTRAL CHILE"	-31.81	-71.26		0																											
	1965	3	30	2	27	3.4	4	1	7.6			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	50.32	177.93	0.1	3		-2.3	-1																								
	1965	4	19	23	42		-1	1	6			0	"JAPAN"	"AICHI PREFECTURE"	34.9	139	0.1	2			-4																								
	1965	6	11	3	34	2	4	1	7.2			0	"RUSSIA"	"S. KURIL ISLANDS"	44.7	148.7	0.1	6		-3.3	-3																								
